available_spots,capacity,prefix,course_number,type,section,title,credits,time,days,room,building,spec,instructor,session,additional_meet_times,additional_meet_days,additional_notes
30,10,MATH,1021,,5,COLLEGE ALGEBRA,3.0,1230-0120,T,0277,LOCKETT,PRE-NURSING STU,MIZELL M,Normal,TBA,,
26,14,MATH,1021,,101,COLLEGE ALGEBRA,3.0,730-0820,W,0239,LOCKETT,,WEBER J,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 101
29,11,MATH,1021,,102,COLLEGE ALGEBRA,3.0,830-0920,W,0239,LOCKETT,,HEIDERCHEIDT,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 102
138,37,MATH,1021,,103,COLLEGE ALGEBRA,3.0,930-1020,W,B016,LOCKETT,,KURTZ S,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 103
20,20,MATH,1021,,104,COLLEGE ALGEBRA,3.0,930-1020,W,0239,LOCKETT,,ABONGO T,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 104
8,32,MATH,1021,,105,COLLEGE ALGEBRA,3.0,1030-1120,W,0239,LOCKETT,,ENNIS C,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 105
5,35,MATH,1021,,106,COLLEGE ALGEBRA,3.0,1130-1220,W,0239,LOCKETT,,WALLACE A,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 106
5,35,MATH,1021,,6,COLLEGE ALGEBRA,3.0,1230-0120,W,0277,LOCKETT,,GOMEZ-SOLIS M,Normal,TBA,,
37,3,MATH,1021,,107,COLLEGE ALGEBRA,3.0,1230-0120,W,0239,LOCKETT,PRE-NURSING STU,MCCOY M,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 107
36,4,MATH,1021,,7,COLLEGE ALGEBRA,3.0,130-0220,W,0277,LOCKETT,PRE-NURSING STU,GOMEZ-SOLIS M,Normal,TBA,,
12,28,MATH,1021,,108,COLLEGE ALGEBRA,3.0,130-0220,W,0239,LOCKETT,,GE Y,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 108
34,6,MATH,1021,,111,COLLEGE ALGEBRA,3.0,730-0820,TH,0239,LOCKETT,,KAPITA J,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 111
29,11,MATH,1021,,112,COLLEGE ALGEBRA,3.0,830-0920,TH,0239,LOCKETT,,LEMOINE M,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 112
